No,연번,역번호,호선,역명,역전화번호,역주소,경도,위도,상태
214,214,2713,7,수락산,02-6311-7111,서울특별시 노원구 동일로 지하1662 (상계동),127.055374337469,37.6776258095228,정좌표
215,215,2714,7,마들,02-6311-7121,서울특별시 노원구 동일로 지하1530-1 (상계동),127.057687766841,37.6650867733081,정좌표
216,216,2715,7,노원,02-6311-7131,서울특별시 노원구 상계로 69-1 (상계동),127.063030247789,37.6562679212181,정좌표
217,217,2716,7,중계,02-6311-7141,서울특별시 노원구 동일로 지하1308-1 (중계동),127.064246739064,37.6448908791628,정좌표
218,218,2717,7,하계,02-6311-7151,서울특별시 노원구 동일로 지하1196 (하계동),127.067988798807,37.6364522491218,정좌표
219,219,2718,7,공릉,02-6311-7161,서울특별시 노원구 동일로 지하1074,127.073005289385,37.6254765041751,정좌표
220,220,2719,7,태릉입구,02-6311-7171,서울특별시 노원구 동일로 지하992-1 (공릉동),127.074995445538,37.6179055690967,정좌표
221,221,2720,7,먹골,02-6311-7181,서울특별시 중랑구 동일로 지하901 (묵동),127.077764613369,37.6106248180082,정좌표
222,222,2721,7,중화,02-6311-7191,서울특별시 중랑구 동일로 지하797 (중화동),127.079469736925,37.6015802392687,정좌표
223,223,2722,7,상봉,02-6311-7201,서울특별시 중랑구 망우로 지하 297,127.085436562608,37.5967138940437,정좌표
224,224,2723,7,면목,02-6311-7211,서울특별시 중랑구 면목로 지하407(면목동 / 면목역),127.087567597169,37.5883839051134,정좌표
225,225,2724,7,사가정,02-6311-7221,서울특별시 중랑구 사가정로 지하393 (면목동),127.08843906452,37.5807952556832,정좌표
226,226,2725,7,용마산,02-6311-7231,서울특별시 중랑구 용마산로 지하227 (면목동),127.087038073154,37.5740302470202,정좌표
227,227,2726,7,중곡,02-6311-7241,서울특별시 광진구 능동로 지하417 (중곡동),127.07889157015,37.5527415668186,정좌표
228,228,2727,7,군자,02-6311-5441,서울특별시 광진구 천호대로 지하550,127.079017103048,37.5573629888913,정좌표
229,229,2728,7,어린이대공원,02-6311-7261,서울특별시 광진구 능동로 지하210 (화양동),127.080066296469,37.554365582481,정좌표
230,230,2729,7,건대입구,02-6311-7271,서울특별시 광진구 능동로110(화양동6-3),127.071046218179,37.5408418898977,정좌표
231,231,2730,7,뚝섬유원지,02-6311-7281,서울특별시 광진구 능동로 10 (자양동),127.066717689765,37.5315872041047,정좌표
232,232,2731,7,청담,02-6311-7291,서울특별시 강남구 학동로 지하508 (청담동),127.053644710641,37.5194411526124,정좌표
233,233,2732,7,강남구청,02-6311-7301,서울특별시 강남구 학동로 지하346 (삼성동),127.041301065357,37.5171888707741,정좌표
234,234,2733,7,학동,02-6311-7311,서울특별시 강남구 학동로 지하180 (논현동),127.031463489902,37.5142062454749,정좌표
235,235,2734,7,논현,02-6311-7321,서울특별시 강남구 학동로 지하102(논현동),127.021657277918,37.5111980510257,정좌표
236,236,2735,7,반포,02-6311-7331,서울특별시 서초구 신반포로 지하241(잠원동),127.011497258749,37.5081268289924,정좌표
237,237,2736,7,고속터미널,02-6311-7341,서울특별시 서초구 신반포로 지하 188 (반포동),127.004442272027,37.5046474981236,정좌표
238,238,2737,7,내방,02-6311-7351,서울특별시 서초구 서초대로 지하103 (방배동),126.99319012166,37.4875337141999,정좌표
239,239,2738,7,이수,02-6311-7361,서울특별시 동작구 사당로 지하310 (사당동),126.981021527467,37.4850156696939,정좌표
240,240,2739,7,남성,02-6311-7371,서울특별시 동작구 사당로 지하218 (사당동),126.971706619574,37.484443664805,정좌표
241,241,2740,7,숭실대입구,02-6311-7381,서울특별시 동작구 상도로 지하 378,126.954059995951,37.4958141048696,정좌표
242,242,2741,7,상도,02-6311-7392,서울특별시 동작구 상도로 지하272 (상도1동),126.947700106276,37.5032072072632,정좌표
243,243,2742,7,장승배기,02-6311-7401,서울특별시 동작구 상도로 지하188 (상도동),126.938744209357,37.5046645781131,정좌표
244,244,2743,7,신대방삼거리,02-6311-7411,서울특별시 동작구 상도로 지하76 (대방동) ,126.928223761361,37.4997231020674,정좌표
245,245,2744,7,보라매,02-6311-7421,서울특별시 동작구 상도로 지하2 (대방동),126.920489672987,37.4999107525113,정좌표
246,246,2745,7,신풍,02-6311-7431,서울특별시 영등포구 신풍로 지하27 (신길동),126.909841512117,37.5001172648423,정좌표
247,247,2746,7,대림,02-6311-7441,서울특별시 영등포구 도림로 지하137,126.89661189266,37.4927437829459,정좌표
248,248,2747,7,남구로,02-6311-7451,서울특별시 구로구 도림로 지하7 (구로동),126.886333225598,37.4853234330147,정좌표
249,249,2748,7,가산디지털단지,02-6311-7461,서울특별시 금천구 벚꽃로 309 (가산동),126.882559142029,37.4815957731159,정좌표
250,250,2749,7,철산,02-6311-7471,경기도 광명시 철산로 지하13 (철산동),126.868011862812,37.4761174806292,정좌표
251,251,2750,7,광명사거리,02-6311-7481,경기도 광명시 오리로 지하980(광명동),126.854636365427,37.4793644201395,정좌표
252,252,2751,7,천왕,02-6311-7491,서울특별시 구로구 오리로 지하1154(오류동),126.838713764567,37.4868217850514,정좌표
253,253,2752,7,온수,02-6311-7501,서울특별시 구로구 경인로3길 지하64 (온수동),126.823381303913,37.4921510112138,정좌표
254,254,2753,7,까치울,02-6311-7511,경기도 부천시 길주로 626 ,126.811398637872,37.5062003359012,정좌표
255,255,2754,7,부천종합운동장,02-6311-7521,경기도 부천시 길주로 지하 502 ,126.797430194658,37.5054837098533,정좌표
256,256,2755,7,춘의,02-6311-7531,경기도 부천시 길주로 지하 406 ,126.786866185493,37.5036447488324,정좌표
257,257,2756,7,신중동,02-6311-7541,경기도 부천시 길주로 314 ,126.776499319186,37.5029722156206,정좌표
258,258,2757,7,부천시청,02-6311-7551,경기도 부천시 길주로 202 ,126.764060493451,37.5046416423026,정좌표
259,259,2758,7,상동,02-6311-7561,경기도 부천시 길주로 104 ,126.753186776177,37.5058094100155,정좌표
260,260,2759,7,삼산체육관,02-6311-7571,인천광역시 부평구 길주로 지하713 (삼산동),126.741907265272,37.5065836492566,정좌표
261,261,2760,7,굴포천,02-6311-7581,인천광역시 부평구 길주로 지하623 (삼산동),126.731761829384,37.5070781048195,정좌표
262,262,2761,7,부평구청,02-6311-7591,인천광역시 부평구 길주로 지하527(갈산동),126.72085783215,37.5076083289495,정좌표
263,263,2811,8,암사,02-6311-8101,서울특별시 강동구 올림픽로 지하776 (암사동),127.127539879515,37.5501394382816,정좌표
264,264,2812,8,천호,02-6311-5471,서울특별시 강동구 천호대로 지하997 (천호동),127.123742472236,37.5385788800274,정좌표
265,265,2813,8,강동구청,02-6311-8121,서울특별시 강동구 올림픽로 지하550 (성내동),127.12057563302,37.5306739483701,정좌표
266,266,2814,8,몽촌토성,02-6311-8131,서울특별시 송파구 올림픽로 지하383,127.112430491665,37.5176251347628,정좌표
267,267,2815,8,잠실,02-6311-8141,서울특별시 송파구 올림픽로 지하 265 (잠실동),127.101857935269,37.5138595162075,정좌표
268,268,2816,8,석촌,02-6311-8151,서울특별시 송파구 송파대로 지하439 (석촌동),127.106345761555,37.5059492639902,정좌표
269,269,2817,8,송파,02-6311-8161,서울특별시 송파구 송파대로 지하354 (가락동),127.112180281761,37.4996872503532,정좌표
270,270,2818,8,가락시장,02-6311-8171,서울특별시 송파구 송파대로 지하 257 (가락동),127.118486044379,37.4927435901875,정좌표
271,271,2819,8,문정,02-6311-8181,서울특별시 송파구 송파대로 지하179 (문정동),127.122291334055,37.4862638396308,정좌표
272,272,2820,8,장지,02-6311-8191,서울특별시 송파구 송파대로 지하82 (장지동),127.126424478784,37.4781196332596,정좌표
273,273,2821,8,복정,02-6311-8201,서울특별시 송파구 송파대로 지하6 (장지동),127.126772030503,37.4710573608184,정좌표
274,274,2822,8,산성,02-6311-8211,경기도 성남시 수정구 수정로 지하365(신흥동),127.149944209636,37.4565249502521,정좌표
275,275,2823,8,남한산성입구,02-6311-8221,경기도 성남시 수정구 산성대로 지하 445,127.159802246323,37.4515680843245,정좌표
276,276,2824,8,단대오거리,02-6311-8231,경기도 성남시 수정구 산성대로 지하365 (신흥동),127.156687788381,37.4451435750252,정좌표
277,277,2825,8,신흥,02-6311-8241,경기도 성남시 수정구 산성대로 지하280 (신흥동),127.148107339852,37.4411838559046,정좌표
278,278,2826,8,수진,02-6311-8251,경기도 성남시 수정구 산성대로 지하200 (수진동),127.140351861029,37.4374592109775,정좌표
279,279,2827,8,모란,02-6311-8261,경기도 성남시 수정구 산성대로 지하100 (수진동),127.129551005985,37.4338497521105,정좌표
280,280,4126,9,언주,02-2656-0926,서울특별시 강남구 봉은사로 지하 201,127.034284873175,37.5074459573516,정좌표
281,281,4127,9,선정릉,02-2656-0927,서울특별시 강남구 선릉로 지하 580,127.043641032666,37.5108535531421,정좌표
282,282,4128,9,삼성중앙,02-2656-0928,서울특별시 강남구 봉은사로 지하 501,127.052704996103,37.5128824785034,정좌표
283,283,4129,9,봉은사,02-2656-0929,서울특별시 강남구 봉은사로 지하 601,127.060892172989,37.5143609594896,정좌표
284,284,4130,9,종합운동장,02-2656-0930,서울특별시 송파구 올림픽로 지하 23 (잠실동),127.07335577987,37.5109691272365,정좌표
285,285,4131,9,삼전,02-2656-0931,서울특별시 송파구 백제고분로 187,127.087781367388,37.5047446368826,정좌표
286,286,4132,9,석촌고분,02-2656-0932,서울특별시 송파구 삼학사로 53,127.096622405305,37.5020282627259,정좌표
287,287,4133,9,석촌,02-2656-0933,서울특별시 송파구 송파대로 439,127.106345761555,37.5059492639902,정좌표
288,288,4134,9,송파나루,02-2656-0934,서울특별시 송파구 오금로 165,127.113123438938,37.5101202562928,정좌표
289,289,4135,9,한성백제,02-2656-0935,서울특별시 송파구 위례성대로 51,127.118185048148,37.5168653738515,정좌표
290,290,4136,9,올림픽공원,02-2656-0936,서울특별시 송파구 양재대로 1233,127.130600382953,37.5160879536567,정좌표
291,291,4137,9,둔촌오륜,02-2656-0937,서울특별시 송파구 강동대로 327,127.140170191968,37.5179754676744,인근좌표
292,292,4138,9,중앙보훈병원,02-2656-0938,서울특별시 강동구 명일로 117,127.142757018813,37.5296141793906,정좌표
