,No,시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,전화번호,팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV총설치수,보육교직원수,정원,현원,시설 위도(좌표값),시설 경도(좌표값),통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,데이터기준일자,제공서비스,반수-만0세,반수-만1세,반수-만2세,반수-만3세,반수-만4세,반수-만5세,반수-영아혼합(만0~2세),반수-유아혼합(만3~5세),반수-특수장애,반수-총계,아동수-만0세,아동수-만1세,아동수-만2세,아동수-만3세,아동수-만4세,아동수-만5세,아동수-영아혼합(만0~2세),아동수-유아혼합(만3~5세),아동수-특수장애,아동수-총계,근속년수-1년미만,근속년수-1년이상~2년미만,근속년수-2년이상~4년미만,근속년수-4년이상~6년미만,근속년수-6년이상,교직원현황-원장,교직원현황-보육교사,교직원현황-특수교사,교직원현황-치료교사,교직원현황-영양사,교직원현황-간호사,교직원현황-간호조무사,교직원현황-조리원,교직원현황-사무직원,교직원현황-총계,데이터수집일,경도,위도,상태
1205,1284,관악구,11620000522,구립까치산어린이집,국공립,정상,8735,서울특별시 관악구 행운10길 21 관악파크푸르지오아파트 102동 1층,02-871-1376,02-871-1375,,3,73.0,0,6,9,25,25,37.48222497,126.9621782,미운영,2015-08-26,,,,2021-07-23,일반,2,2,2,0,0,0,0,0,0,6,5,10,10,0,0,0,0,0,0,25,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,04:30.0,126.9617105,37.48267136,정좌표
1206,1285,강서구,11500000656,KB강서어린이집,직장,정상,7544,서울특별시 강서구 양천로 643 2층,02-3665-8101,02-3665-8102,http://www.puruni.com/kbgangseo,4,213.0,1,16,16,70,54,37.55359355,126.8690436,미운영,2015-08-20,,,,2021-07-23,일반,0,3,3,0,0,2,0,3,0,11,0,10,13,0,0,10,0,21,0,54,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,03:41.0,126.8702666,37.55373802,정좌표
1207,1286,강서구,11500000655,강서힐스테이트어린이집,민간,정상,7694,서울특별시 강서구 우현로 67,02-2607-7893,02-2607-7894,,4,263.0,1,9,10,82,38,37.54754275,126.8373962,미운영,2015-08-18,,,,2021-07-23,일반,4,3,2,1,0,0,0,2,0,12,3,15,11,0,0,0,0,9,0,38,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,03:41.0,126.8408648,37.54634769,정좌표
1208,1287,마포구,11440000421,도담도담어린이집,민간,정상,4077,서울특별시 마포구 독막로20나길 21 (상수동 래미안밤섬리베뉴 2),02-336-0606,02-336-2332,,5,125.0,0,12,12,47,44,37.54687896,126.9270749,미운영,2015-08-10,,,,2021-07-23,일반,2,4,3,0,0,0,0,0,0,9,6,18,20,0,0,0,0,0,0,44,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,03:20.0,126.9264225,37.5473452,정좌표
1209,1289,강서구,11500000654,하나린어린이집,민간,정상,7630,서울특별시 강서구 수명로1길 133,02-2665-6300,02-2665-6330,,6,230.0,1,12,13,83,83,37.55392287,126.8255129,운영,2015-08-07,,,,2021-07-23,일반,0,0,1,1,2,2,0,0,0,6,0,0,4,15,29,35,0,0,0,83,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,03:42.0,126.8255072,37.55390994,정좌표
1210,1290,강남구,11680000459,GS리테일 푸르니 어린이집,직장,정상,6140,서울특별시 강남구 테헤란로27길 34-3 .,02-6925-5012,070-8156-5810,,4,162.0,1,21,16,61,37,37.50377713,127.0376042,미운영,2015-08-03,,,,2021-07-23,일반,3,5,3,0,0,0,0,2,0,13,6,12,12,0,0,0,0,7,0,37,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,04:51.0,127.0375681,37.50378699,정좌표
1211,1292,동대문구,11230000194,해맑은어린이집,국공립,정상,2514,서울특별시 동대문구 한천로46길 70-9 (장안동),02-2243-0088,02-2243-0116,,7,306.0,1,16,16,91,81,37.58108023,127.0723369,미운영,2015-08-01,,,,2021-07-23,일반,0,2,2,2,1,1,0,0,0,8,0,10,15,24,15,17,0,0,0,81,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,02:01.0,127.0722998,37.58108274,정좌표
1212,1295,영등포구,11560000408,참포도나무어린이집,가정,정상,7435,서울특별시 영등포구 대방천로 180 204동 112호(신길동 우성2차아파트),02-831-1068,,,3,40.0,0,3,4,15,7,37.4971007,126.9117166,미운영,2015-07-06,,,,2021-07-23,일반,1,1,0,0,0,0,2,0,0,4,2,5,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,04:11.0,126.9108675,37.49840639,정좌표
1213,1297,동작구,11590000405,구립대방보듬이나눔이어린이집,국공립,정상,6945,서울특별시 동작구 대방동15길 10,02-822-1257,02-823-1257,https://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000405,6,230.0,1,15,14,84,78,37.50290972,126.9243882,미운영,2015-07-01,,,,2021-07-23,장애아통합시간제보육,0,2,2,1,1,1,0,0,0,7,0,10,14,14,20,20,0,0,0,78,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,04:20.0,126.9314165,37.50839881,정좌표
1214,1299,마포구,11440000420,이화초록별어린이집,민간,정상,4202,서울특별시 마포구 마포대로24길 16 관리동 어린이집(아현동 공덕자이아파트),02-313-0070,02-313-0408,,6,292.0,1,11,14,89,86,37.55324124,126.9597115,미운영,2015-06-22,,,,2021-07-23,일반,0,2,4,1,1,1,0,0,0,9,0,10,28,15,18,15,0,0,0,86,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,03:21.0,126.9575399,37.55248798,정좌표
1215,1300,마포구,11440000419,삼성SDS 꿈토란어린이집,직장,정상,3922,서울특별시 마포구 월드컵북로60길 24 삼성SDS 상암IT센터 1층,02-6440-7170,02-6440-7168,,4,344.0,1,18,17,49,47,37.58291982,126.8871564,미운영,2015-06-19,,,,2021-07-23,일반,0,3,2,2,0,0,0,2,0,9,0,11,11,8,0,0,0,17,0,47,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,17.0,03:20.0,126.8871736,37.58294595,정좌표
1216,1301,동작구,11590000404,구립태성어린이집,국공립,정상,7062,서울특별시 동작구 여의대방로16길 1,02-832-7799,02-832-7272,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000404,4,190.0,1,8,12,69,68,37.49622882,126.9171004,미운영,2015-06-08,,,,2021-07-23,장애아통합야간연장,0,0,2,1,1,1,0,0,1,6,0,0,14,13,18,20,0,0,3,68,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,04:20.0,126.9172468,37.49656429,정좌표
1217,1303,강남구,11680000458,힐스어린이집,국공립,정상,6374,서울특별시 강남구 자곡로3길 21 LHA5블럭 강남LH힐스테이트(관리동),02-445-3218,02-3412-3219,,6,324.0,1,20,18,92,80,37.47176088,127.0881043,미운영,2015-06-01,,,,2021-07-23,야간연장,3,3,2,1,1,1,0,0,0,11,5,14,14,15,13,19,0,0,0,80,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,04:51.0,127.0895214,37.47157831,정좌표
1218,1304,서초구,11650000378,서초구립 포레스타6단지어린이집,국공립,정상,6802,서울특별시 서초구 청계산로9길 1-12,02-575-0546,02-575-0540,,5,168.0,1,16,10,59,34,37.44968392,127.0562402,미운영,2015-06-01,,,,2021-07-23,장애아통합,2,2,2,0,0,0,0,1,2,9,5,9,7,0,0,0,0,10,3,34,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,04:40.0,127.0555349,37.44945302,정좌표
1219,1305,서초구,11650000377,서초구립 서초자연이랑 어린이집,국공립,정상,6767,서울특별시 서초구 양재대로2길 109,02-576-0927,02-574-0927,,4,140.0,1,10,10,53,44,37.45611532,127.0137843,미운영,2015-06-01,,,,2021-07-23,야간연장,0,2,2,1,0,0,0,1,0,6,0,10,11,10,0,0,0,13,0,44,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,04:40.0,127.0117494,37.45646863,정좌표
1220,1306,관악구,11620000519,구립색동어린이집,국공립,정상,8720,서울특별시 관악구 봉천로17길 5-16,02-876-8506,02-876-8502,,6,186.0,2,11,12,62,55,37.48850384,126.9315687,미운영,2015-06-01,,,,2021-07-23,야간연장,0,2,2,0,0,0,0,2,0,6,0,10,11,0,0,0,0,34,0,55,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,04:30.0,126.9315817,37.48852428,정좌표
1221,1309,영등포구,11560000407,아트자이어린이집,민간,정상,7364,서울특별시 영등포구 도영로 66 아트자이아파트 단지내 복리시설,02-835-9751,02-835-9741,,6,281.0,1,9,16,56,54,37.51039395,126.9001778,미운영,2015-05-15,,,,2021-07-23,일반,2,5,6,1,0,0,0,0,0,14,6,20,28,0,0,0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,04:11.0,126.9006678,37.50975269,정좌표
1222,1310,구로구,11530000590,마노아구로어린이집,직장,정상,8381,서울특별시 구로구 디지털로27길 36 이스페이스108호,02-6210-3100,02-6210-3101,,4,265.0,0,8,10,49,22,37.48374271,126.8925565,미운영,2015-05-15,,,,2021-07-23,일반,2,2,1,1,0,0,0,0,0,6,5,8,6,3,0,0,0,0,0,22,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,03:51.0,126.8925572,37.48374433,정좌표
1223,1311,강서구,11500000653,지니어스어린이집,민간,정상,7550,서울특별시 강서구 화곡로68길 102 서울 시니어스 가양타워 1층,02-3663-1004,02-3665-3633,genius.kidis.co.kr,5,150.0,0,12,12,49,49,37.55698815,126.8593317,미운영,2015-05-11,,,,2021-07-23,일반,1,4,4,0,0,0,0,0,0,9,3,19,27,0,0,0,0,0,0,49,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,03:42.0,126.8593312,37.5569882,정좌표
1224,1314,관악구,11620000518,구립하늘빛어린이집,국공립,정상,8734,서울특별시 관악구 청림5길 28 관악푸르지오아파트 2단지 관리동,02-885-1174,02-875-1173,,2,62.0,0,3,6,23,14,37.48959459,126.9602703,미운영,2015-05-01,,,,2021-07-23,야간연장,1,2,2,0,0,0,5,0,0,10,1,0,6,0,0,0,7,0,0,14,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,04:30.0,126.9601462,37.49002381,정좌표
1225,1315,용산구,11170000186,한가람꼬마숲어린이집,가정,정상,4422,서울특별시 용산구 이촌로71길 10 213-101(이촌동한가람아파트),070-8888-9655,02-797-9655,,3,77.0,0,4,6,18,18,37.52112117,126.9738703,미운영,2015-04-20,,,,2021-07-23,일반,2,1,1,0,0,0,0,0,0,4,6,5,7,0,0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,01:30.0,126.9736338,37.52028461,정좌표
1226,1316,동대문구,11230000454,라온어린이집,가정,정상,2590,서울특별시 동대문구 정릉천동로 16 106동 102호 (용두두산위브아파트),010-7723-7257,,,3,65.0,0,4,7,20,19,37.5734684,127.035305,미운영,2015-04-17,,,,2021-07-23,일반,3,1,1,0,0,0,0,0,0,5,9,5,5,0,0,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,02:00.0,127.0356714,37.57341358,정좌표
1227,1318,마포구,11440000417,크니크니어린이집,국공립,정상,4024,서울특별시 마포구 월드컵로1길 14 1층 크니크니어린이집,02-336-6836,,,4,180.0,2,8,13,65,57,37.55005106,126.9120616,미운영,2015-04-07,,,,2021-07-23,장애아통합,0,2,2,1,0,0,0,1,2,8,0,10,14,11,0,0,0,16,6,57,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,03:21.0,126.9120617,37.55004963,정좌표
1228,1319,구로구,11530000589,가온어린이집,국공립,정상,8339,서울특별시 구로구 서해안로34가길 33,02-2681-0090,02-2066-0102,,5,250.0,1,15,11,59,41,37.49404234,126.8490781,미운영,2015-04-01,,,,2021-07-23,야간연장,0,2,2,1,0,0,0,1,0,6,0,8,11,10,0,0,0,12,0,41,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,03:51.0,126.8490794,37.49404745,정좌표
1229,1320,관악구,11620000517,구립아름꿈노아어린이집,국공립,정상,8767,서울특별시 관악구 남부순환로145길 6 (조원동),02-852-3338,02-852-3336,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11620000517,6,200.0,1,8,10,60,56,37.48185614,126.9123722,미운영,2015-04-01,,,,2021-07-23,야간연장,0,1,1,1,1,1,0,0,0,5,0,5,5,15,18,13,0,0,0,56,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,04:30.0,126.9124667,37.48191161,정좌표
1230,1322,강남구,11680000456,창의나무아이파크어린이집,민간,정상,6213,서울특별시 강남구 테헤란로52길 16 테헤란아이파크아파트 관리동,02-558-1841,02-558-1842,,3,95.0,0,5,5,32,13,37.50249818,127.0463819,미운영,2015-03-25,,,,2021-07-23,일반,2,3,2,0,0,0,3,0,0,10,0,5,0,0,0,0,8,0,0,13,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,04:51.0,127.0468986,37.50238314,정좌표
1231,1323,동대문구,11230000453,리치빅스맘어린이집,민간,정상,2577,서울특별시 동대문구 한빛로 73 103동 101 (용두동 롯데캐슬리치아파트),02-6406-2722,,,3,61.0,1,4,7,23,15,37.5794163,127.0305168,미운영,2015-03-20,,,,2021-07-23,일반,1,1,1,0,0,0,2,0,0,5,3,0,4,0,0,0,8,0,0,15,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,02:00.0,127.0310562,37.57879549,정좌표
1232,1324,마포구,11440000413,마포리버파크지향 어린이집,민간,정상,4166,서울특별시 마포구 토정로31길 24 (용강동 e편한세상마포3차),02-719-6369,02-719-6369,,4,117.0,1,6,10,44,41,37.54221725,126.9436542,미운영,2015-03-13,,,,2021-07-23,일반,2,3,4,1,0,0,2,0,0,12,6,10,25,0,0,0,0,0,0,41,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,03:20.0,126.9434485,37.54201858,정좌표
1233,1326,강남구,11680000454,예쁜꿈어린이집,가정,정상,6337,서울특별시 강남구 개포로110길 15 우성7차아파트 107동 104호,02-6160-5950,,,4,59.0,0,4,4,19,10,37.49324368,127.0791149,미운영,2015-03-11,,,,2021-07-23,일반,3,3,1,0,0,0,4,0,0,11,0,5,5,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,04:51.0,127.0775912,37.4927611,정좌표
1234,1328,송파구,11710000711,해피어린이집,가정,정상,5504,서울특별시 송파구 올림픽로35길 104 30동108(신천동장미아파트),02-3402-0605,,,3,101.0,0,4,6,15,12,37.52026234,127.103324,미운영,2015-03-10,,,,2021-07-23,일반,2,1,1,0,0,0,1,0,0,5,2,4,6,0,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,05:02.0,127.0971712,37.5180755,정좌표
1235,1329,강남구,11680000453,세아별어린이집,직장,정상,6188,서울특별시 강남구 영동대로 325 S TOWER 2층,02-553-7212,02-553-7214,,4,236.0,1,8,16,70,43,37.50330006,127.0654546,운영,2015-03-06,,,,2021-07-23,일반,0,3,3,0,0,1,1,3,0,11,0,6,9,0,0,3,1,24,0,43,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,04:51.0,127.0654953,37.50329019,정좌표
1236,1332,동작구,11590000403,구립상도4동어린이집,국공립,정상,6961,서울특별시 동작구 상도로22길 45 구립상도4동어린이집,02-3280-1145,,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000403,4,183.0,1,16,12,69,69,37.50125088,126.9373202,미운영,2015-03-02,,,,2021-07-23,장애아통합휴일보육,0,0,2,1,1,1,0,0,0,5,0,0,14,15,20,20,0,0,0,69,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,04:20.0,126.9373167,37.50124616,정좌표
1237,1333,강남구,11680000452,GKL행복어린이집,직장,정상,6085,서울특별시 강남구 삼성로122길 7 GKL 행복 어린이집,02-3448-4571,,,4,241.0,1,23,18,60,21,37.51728959,127.0536711,미운영,2015-03-02,,,,2021-07-23,일반,0,0,4,0,0,3,6,4,0,17,0,0,8,0,0,3,4,6,0,21,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,04:51.0,127.053671,37.51728818,정좌표
1238,1334,성동구,11200000358,구립 우리어린이집,국공립,정상,4714,서울특별시 성동구 왕십리로21길 26-1,02-2295-7940,02-2295-7945,http//cafe.daum.net/22957940,5,270.0,0,16,11,45,38,37.56041574,127.0318898,미운영,2015-03-02,,,,2021-07-23,야간연장,2,4,2,1,0,0,0,3,0,12,6,5,14,0,0,0,0,13,0,38,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,01:40.0,127.0318918,37.56041807,정좌표
1239,1335,양천구,11470000573,구립 목3동보듬이어린이집,국공립,정상,7951,서울특별시 양천구 목동중앙남로16마길 35-10,02-2647-7942,02-2647-903,,5,240.0,1,24,15,82,63,37.54534496,126.8635178,미운영,2015-03-01,,,,2021-07-23,장애아통합야간연장시간제보육,0,2,2,1,1,0,0,1,2,9,0,10,14,15,0,0,0,20,4,63,1.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,03:30.0,126.8636627,37.54531786,정좌표
1240,1336,영등포구,11560000406,GS SHOP 도담도담 어린이집,직장,정상,7280,서울특별시 영등포구 문래동6가 선유로 75,02-3667-8935,02-3667-8937,www.puruni.com,4,253.0,2,10,19,80,66,37.52081042,126.8890328,미운영,2015-03-01,,,,2021-07-23,일반,0,4,3,0,0,2,0,3,0,12,0,13,14,0,0,14,0,25,0,66,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,04:10.0,126.8890338,37.52081017,정좌표
1241,1337,영등포구,11560000135,영신어린이집,국공립,정상,7388,서울특별시 영등포구 신길로 132 (신길동),02-833-2841,02-836-7171,www.yschurch.com,9,448.0,1,31,24,138,137,37.50398394,126.9107804,미운영,2015-03-01,,,,2021-07-23,야간연장,0,0,4,2,2,2,0,0,0,10,0,0,28,30,40,39,0,0,0,137,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,24.0,04:11.0,126.9108888,37.50415605,정좌표
1242,1338,양천구,11470000174,구립 신월중앙어린이집,국공립,정상,7921,서울특별시 양천구 곰달래로1길 23 (신월동),02-2694-7567,02-2693-7567,,5,230.0,1,16,5,69,2,37.53151664,126.8319326,미운영,2015-03-01,,,,2021-07-23,야간연장,0,1,1,0,0,0,1,2,0,5,0,0,0,0,0,0,2,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,03:30.0,126.8319478,37.53153688,정좌표
1243,1339,양천구,11470000572,구립 신정2동어린이집,국공립,정상,8009,서울특별시 양천구 신목로14길 4,02-2654-2007,02-2654-2288,,7,256.0,1,16,17,85,85,37.52161461,126.875095,미운영,2015-03-01,,,,2021-07-23,장애아통합야간연장,0,3,2,1,1,1,0,0,2,10,0,11,14,15,20,20,0,0,5,85,0.0,0.0,0.0,0.0,0.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,03:30.0,126.8746159,37.52199659,정좌표
1244,1340,도봉구,11320000521,창4동한내어린이집,국공립,정상,1409,서울특별시 도봉구 마들로13길 252,02-990-7044,02-991-7044,,5,213.0,1,9,13,79,78,37.66149881,127.0450843,미운영,2015-03-01,,,,2021-07-23,야간연장,0,2,2,1,1,0,0,1,0,7,0,10,14,15,19,0,0,20,0,78,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,02:41.0,127.0450808,37.66149541,정좌표
1245,1341,금천구,11545000313,구립올고운어린이집,국공립,정상,8656,서울특별시 금천구 금하로29길 30,02-809-9970,,,7,279.0,1,11,18,83,79,37.45113581,126.9130952,미운영,2015-03-01,,,,2021-07-23,야간연장,2,2,2,1,1,1,0,0,0,9,6,10,14,15,17,17,0,0,0,79,0.0,0.0,1.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,04:00.0,126.9130913,37.45130906,정좌표
1246,1342,영등포구,11560000060,예쁜아이어린이집,국공립,정상,7432,서울특별시 영등포구 대방천로 245-19,02-843-9898,02-847-9989,ye843@hanmail.net,4,117.0,0,8,9,27,21,37.49939195,126.9181032,미운영,2015-03-01,,,,2021-07-23,야간연장,0,2,2,0,0,0,1,0,0,5,0,7,11,0,0,0,3,0,0,21,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,04:11.0,126.9181164,37.49940568,정좌표
1247,1343,금천구,11545000312,구립새싹어린이집,국공립,정상,8651,서울특별시 금천구 시흥대로34길 9,02-892-1531,02-892-1532,,6,242.0,1,8,20,90,77,37.44324672,126.9051443,미운영,2015-03-01,,,,2021-07-23,야간연장,2,2,2,2,1,1,0,0,0,10,6,10,14,15,13,19,0,0,0,77,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,04:00.0,126.9051297,37.4432776,정좌표
1248,1344,금천구,11545000314,구립금하새빛어린이집,국공립,정상,8600,서울특별시 금천구 금하로1가길 10,02-899-7457,02-899-7458,http://blog.naver.com/saebit7457,5,150.0,0,15,10,49,43,37.45241933,126.8918418,미운영,2015-03-01,,,,2021-07-23,장애아통합,0,1,1,1,0,0,0,1,1,5,0,5,7,14,0,0,0,14,3,43,1.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,04:00.0,126.8918349,37.45240724,정좌표
1249,1345,마포구,11440000414,도란도란어린이집,국공립,정상,4161,서울특별시 마포구 토정로31길 31,02-716-3007,02-716-3008,,4,120.0,0,8,12,45,39,37.54235383,126.942871,미운영,2015-03-01,,,,2021-07-23,일반,0,2,2,1,0,0,2,0,0,7,0,10,14,9,0,0,6,0,0,39,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,03:20.0,126.942835,37.54232557,정좌표
1250,1346,성북구,11290000584,원정어린이집,국공립,정상,2701,서울특별시 성북구 보국문로28길 10,02-913-1004,,,8,196.0,1,14,15,65,52,37.61656257,127.005541,미운영,2015-03-01,,,,2021-07-23,장애아통합야간연장,2,2,2,1,0,0,0,1,1,9,6,10,14,9,0,0,0,13,0,52,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,02:21.0,127.0055424,37.61656582,정좌표
1251,1347,광진구,11215000329,구립 한가람어린이집,국공립,정상,5110,서울특별시 광진구 자양번영로2길 30-1 (자양동),02-452-2800,,,6,277.0,2,16,13,92,72,37.53007113,127.0766693,미운영,2015-03-01,,,,2021-07-23,야간연장,0,2,2,1,1,1,0,0,0,7,0,10,14,15,15,18,0,0,0,72,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,01:50.0,127.0766769,37.5300921,정좌표
1252,1348,강북구,11305000327,구립우이한솔어린이집,국공립,정상,1014,서울특별시 강북구 4.19로13길 23-3,02-902-7722,,,3,107.0,0,8,9,30,28,37.64510929,127.0077277,미운영,2015-03-01,,,,2021-07-23,야간연장,1,2,2,0,0,0,1,0,0,6,3,10,12,0,0,0,3,0,0,28,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,02:30.0,127.007733,37.64511693,정좌표
1253,1349,중구,11140000104,GKL행복어린이집,직장,정상,4637,서울특별시 중구 남대문로5가 한강대로 416 서울스퀘어 5층,02-6456-8816,,,4,182.0,0,11,10,49,13,37.55550489,126.9737528,미운영,2015-02-27,,,,2021-07-23,일반,0,0,0,0,0,0,7,5,0,12,0,0,0,0,0,0,10,3,0,13,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,01:19.0,126.9737513,37.55550425,정좌표
1254,1350,강서구,11500000652,리나어린이집,민간,정상,7724,서울특별시 강서구 초록마을로22길 24,02-2602-9328,,,6,129.0,0,8,6,47,11,37.53969572,126.8501584,미운영,2015-02-26,,,,2021-07-23,일반,1,1,0,0,0,0,6,1,0,9,0,4,0,0,0,0,7,0,0,11,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,03:41.0,126.8501411,37.53966822,정좌표
1255,1351,마포구,11440000412,효성어린이집,직장,정상,4144,서울특별시 마포구 마포대로 119 (공덕동)  4층,02-3774-4678,,,3,168.0,0,8,11,40,26,37.5456374,126.9516768,미운영,2015-02-26,,,,2021-07-23,일반,0,3,2,0,0,0,0,2,0,7,0,10,10,0,0,0,0,6,0,26,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,03:21.0,126.9516776,37.54563995,정좌표
1256,1352,강서구,11500000651,블루나인어린이집,직장,정상,7564,서울특별시 강서구 화곡로66길 186-4 186-4,02-3665-9295,,,10,347.0,1,20,16,99,67,37.553925,126.8626013,미운영,2015-02-26,,,,2021-07-23,일반,0,3,2,1,1,1,0,0,0,8,0,14,14,11,14,14,0,0,0,67,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,03:41.0,126.8626017,37.55392674,정좌표
